Title,Artist Name,Year Created,Url,Refrence No
Leeuw en leeuwin (1917),"Bernard Willem Wierink (Dutch, 1856 - 1939)",1917,https://artvee.com/dl/leeuw-en-leeuwin/,702988an.jpg
A Favorite Pug (1802),"Henry Bernard Chalon (English, 1770–1849)",1802,https://artvee.com/dl/a-favorite-pug/,701440an.jpg
Wallace’s Tree-Swift (1850-1883),"John Gould (English, 1804-1881)",1850-1883,https://artvee.com/dl/wallaces-tree-swift/,701995an.jpg
Two Hounds Attacking a Stag at Bay,"Samuel Howitt (English, 1756-1822)",None,https://artvee.com/dl/two-hounds-attacking-a-stag-at-bay/,705569an.jpg
Mares and Foals (between 1770 and 1780),"Sawrey Gilpin (English, 1733–1807)",between 1770 and 1780,https://artvee.com/dl/mares-and-foals/,705576an.jpg
A Bird.,"James Sowerby (English, 1757 – 1822)",None,https://artvee.com/dl/a-bird/,705185an.jpg
Bramling (Fringilla Montifringilla) (1679),"Gerardus van Veen (Dutch, 1620–1683)",1679,https://artvee.com/dl/bramling-fringilla-montifringilla/,704683an.jpg
A Family of Red Deer in a Forest Glade (1898),"Moritz Müller (German, 1841 - 1899)",1898,https://artvee.com/dl/a-family-of-red-deer-in-a-forest-glade/,707082an.jpg
Study of ‘Simentaler’ breed bull (1845),"Piotr Michałowski (Polish, 1800-1855)",1845,https://artvee.com/dl/study-of-simentaler-breed-bull/,705496an.jpg
"Tesoura, Bemtevís, Maria-é-dia, Bemtevís miúdos (1900-1906)","Emil August Göldi (Swiss, 1859-1917)",1900-1906,https://artvee.com/dl/tesoura-bemtevis-maria-e-dia-bemtevis-miudos/,703532an.jpg
The Canada Lynx from the Life (ca. 1817),"Samuel Howitt (English, 1756-1822)",ca. 1817,https://artvee.com/dl/the-canada-lynx-from-the-life/,705566an.jpg
Hirsch mit Rudel im Winter,"Ludwig Sckell (German, 1833 - 1912)",None,https://artvee.com/dl/hirsch-mit-rudel-im-winter/,705963an.jpg
"Larger Spotted Beach Leaf Edge Caterpillar, study for book Concealing Coloration in the Animal Kingdom","Emma Beach Thayer (American, 1849-1924)",None,https://artvee.com/dl/larger-spotted-beach-leaf-edge-caterpillar-study-for-book-concealing-coloration-in-the-animal-kingdom/,700079an.jpg
A Seated Basset Hound ( 1855),"Constant Troyon (French, 1810-1865)", 1855,https://artvee.com/dl/a-seated-basset-hound/,703478an.jpg
Haematopus ostrilegus,"Johann Friedrich Naumann (German, 1780 – 1857)",None,https://artvee.com/dl/haematopus-ostrilegus/,704140an.jpg
"De uitlandsche kapellen voorkomende in de drie waereld-deelen, Asia, Africa en America pl02 (1779-1782)","Pieter Cramer (Dutch, 1721– 1776)",1779-1782,https://artvee.com/dl/de-uitlandsche-kapellen-voorkomende-in-de-drie-waereld-deelen-asia-africa-en-america-pl02/,706688an.jpg
A Boar Hunt (1677),"Juriaen Jacobsz. (Dutch, 1624 – 1685)",1677,https://artvee.com/dl/a-boar-hunt/,702007an.jpg
"Green Pygmy Goose, Indian Pygmy Goose (1922-1926)","Louis Agassiz Fuertes (American, 1874 – 1927)",1922-1926,https://artvee.com/dl/green-pygmy-goose-indian-pygmy-goose/,703113an.jpg
Canards dans une basse-cour,"Charles Emile Jacque (French, 1813 - 1894)",None,https://artvee.com/dl/canards-dans-une-basse-cour/,705770an.jpg
A Bay Horse with White Blaze in a Stable (1899),"Julius von Blaas (Italian, 1845–1923)",1899,https://artvee.com/dl/a-bay-horse-with-white-blaze-in-a-stable/,705400an.jpg
The cabinet of oriental entomology Pl XXXIX (1848),"John Obadiah Westwood (English, 1805 – 1893)",1848,https://artvee.com/dl/the-cabinet-of-oriental-entomology-pl-xxxix/,703236an.jpg
Gray Fox (1837),"Charles Hamilton Smith (English, 1776-1859)",1837,https://artvee.com/dl/gray-fox/,704985an.jpg
Cows in the Pasture,"Alexander Johann Dallinger von Dalling (Austrian, 1783 – 1844)",None,https://artvee.com/dl/cows-in-the-pasture/,701089an.jpg
Bucephalus Capensis Var B. (1838-1849),"Sir Andrew Smith (English, 1797-1872)",1838-1849,https://artvee.com/dl/bucephalus-capensis-var-b/,704538an.jpg
A Good Friend,"Alfred De Dreux (French, 1810-1860)",None,https://artvee.com/dl/a-good-friend-2/,706926an.jpg
Eurasian treecreeper,"James Sowerby (English, 1757 – 1822)",None,https://artvee.com/dl/eurasian-treecreeper/,705210an.jpg
"Lord Lonsdale’s Fleabitten Grey Hunter, Brass, At Cottesmore With The Cottesmore Hounds (1818)","John Ferneley (English, 1782 - 1860)",1818,https://artvee.com/dl/lord-lonsdales-fleabitten-grey-hunter-brass-at-cottesmore-with-the-cottesmore-hounds/,704402an.jpg
Herd (late 19th–early 20th century),"Marie Dieterlé (French, 1856-1935)",late 19th–early 20th century,https://artvee.com/dl/herd/,700165an.jpg
The flying dragon (1929-1932),"Robert Bruce Horsfall (American, 1869–1948)",1929-1932,https://artvee.com/dl/the-flying-dragon-2/,702767an.jpg
A Kingfisher on a Branch (16th century),"Jacques Le Moyne de Morgues (French, 1533-1588)",16th century,https://artvee.com/dl/a-kingfisher-on-a-branch/,704343an.jpg
"Staande koe, naar rechts, en schets van een rund (1845 - 1926)","Willem Carel Nakken (Dutch, 1835-1926)",1845 - 1926,https://artvee.com/dl/staande-koe-naar-rechts-en-schets-van-een-rund/,705600an.jpg
