Title,Artist Name,Year Created,Url,Refrence No
Houlletia brocklehurstiana (1885-1906),"Jean Jules Linden (Belgian, 1817-1898)",1885-1906,https://artvee.com/dl/houlletia-brocklehurstiana/,53013pl.jpg
Whole-coloured Habranth (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/whole-coloured-habranth/,55251pl.jpg
"Smilax longifolia, fol. variegata (1854-1896)","Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/smilax-longifolia-fol-variegata/,52054pl.jpg
Marigolds (1909),"Koloman Moser (Austrian, 1868 – 1918)",1909,https://artvee.com/dl/marigolds/,53291pl.jpg
Pavot 2 (1896),"Maurice Pillard Verneuil (French, 1869-1942)",1896,https://artvee.com/dl/pavot-2/,50256pl.jpg
Amaryllis Stilosa (1834),"Priscilla Susan Bury (English, 1799 – 1872)",1834,https://artvee.com/dl/amaryllis-stilosa/,50611pl.jpg
Twee tulpen met vlinder.. (1637),"Jacob Marrel (German, 1613-1681)",1637,https://artvee.com/dl/twee-tulpen-met-vlinder-3/,52889pl.jpg
Maranta illustris (1854-1896),"Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/maranta-illustris-2/,51909pl.jpg
Christmas Cactus (1884),"Christian Möllback (Danish, 1853-1921)",1884,https://artvee.com/dl/christmas-cactus/,51313pl.jpg
Illustrations and descriptions of the plants which compose the natural order Camellieae Pl.23 (1831),"Alfred Chandler (English, 1804-1896)",1831,https://artvee.com/dl/illustrations-and-descriptions-of-the-plants-which-compose-the-natural-order-camellieae-pl-23/,915522il.jpg
Begonia imperialis (var. smaragdina) (1854-1896),"Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/begonia-imperialis-var-smaragdina/,51671pl.jpg
Muguet 3 (1896),"Maurice Pillard Verneuil (French, 1869-1942)",1896,https://artvee.com/dl/muguet-3/,50251pl.jpg
Oncidium marshallianum (1885-1906),"Jean Jules Linden (Belgian, 1817-1898)",1885-1906,https://artvee.com/dl/oncidium-marshallianum/,53055pl.jpg
Weiße Hyacinthe,"Margaretha Barbara Dietzsch (German, 1716-1795)",None,https://artvee.com/dl/weise-hyacinthe/,53325pl.jpg
Compound Eriogonum (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/compound-eriogonum/,53999pl.jpg
Cut-lipped Oncidium (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/cut-lipped-oncidium/,54044pl.jpg
Red Dewberry. Rubus pedatus (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/red-dewberry-rubus-pedatus/,52417pl.jpg
Arum Arrowhead. Sagittaria cuneata (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/arum-arrowhead-sagittaria-cuneata/,52226pl.jpg
San Diego Mariposa. Calochortus weedii (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/san-diego-mariposa-calochortus-weedii/,52438pl.jpg
Gloneria jasminiflora (1854-1896),"Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/gloneria-jasminiflora/,51856pl.jpg
Humble Coburg-lily (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/humble-coburg-lily/,54287pl.jpg
Toad Trillium. (Trillium sessile) (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/toad-trillium-trillium-sessile/,51516pl.jpg
Quill-leaf Tillandsia. Pillandsia fasciculata (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/quill-leaf-tillandsia-pillandsia-fasciculata/,52412pl.jpg
Laelia Majalis (1837-1843),"James Bateman (English, 1811 – 1897)",1837-1843,https://artvee.com/dl/laelia-majalis/,51035pl.jpg
June Morning (1878),"George Cochran Lambdin (American, 1830-1896)",1878,https://artvee.com/dl/june-morning/,50131pl.jpg
Illustrations and descriptions of the plants which compose the natural order Camellieae Pl.29 (1831),"Alfred Chandler (English, 1804-1896)",1831,https://artvee.com/dl/illustrations-and-descriptions-of-the-plants-which-compose-the-natural-order-camellieae-pl-29/,915528il.jpg
Noble Bell-flower (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/noble-bell-flower/,54574pl.jpg
Rosa villosa2 (1799),"Mary Lawrance (English, 1776 - 1831)",1799,https://artvee.com/dl/rosa-villosa2/,50819pl.jpg
Sprekelia Formosissima ( Amaryllis Formosissima ) (1872-1881),"Arentina Hendrica Arendsen (Dutch, 1836 - 1915)",1872-1881,https://artvee.com/dl/sprekelia-formosissima-amaryllis-formosissima/,50472pl.jpg
Glaucous Craspedia (1815-1819),"Sydenham Edwards (English, 1768-1819)",1815-1819,https://artvee.com/dl/glaucous-craspedia/,54207pl.jpg
Flower (1920),"Joseph Stella (American, 1877-1946)",1920,https://artvee.com/dl/flower-2/,52756pl.jpg
Odontoglossum Roezlii Album (1885),"Harriet Stewart Miner (American, 1840-1895)",1885,https://artvee.com/dl/odontoglossum-roezlii-album/,51338pl.jpg
Aquarelle d’un citronnier,"Alice Bailly (Swiss, 1872-1938)",None,https://artvee.com/dl/aquarelle-dun-citronnier/,53242pl.jpg
"Codiaeum Irregulare,Codiaeum Hillianum (1867-1870)","Edward Joseph Lowe (English, 1825 – 1900)",1867-1870,https://artvee.com/dl/codiaeum-irregularecodiaeum-hillianum/,50562pl.jpg
Boeket bloemen (1680-08),Anonymous,1680-08,https://artvee.com/dl/boeket-bloemen/,50913pl.jpg
Passion Flower (1799),"Sydenham Teak Edwards (English, 1768 - 1819)",1799,https://artvee.com/dl/passion-flower/,50292pl.jpg
Crinum Ornatum (1834),"Priscilla Susan Bury (English, 1799 – 1872)",1834,https://artvee.com/dl/crinum-ornatum/,50619pl.jpg
Pale Ladyslipper. (Cypripedium acaule) (1925),"Mary Vaux Walcott (American, 1860-1940)",1925,https://artvee.com/dl/pale-ladyslipper-cypripedium-acaule/,51479pl.jpg
Choix des plus belles fleurs pl 004 (1827),"Pierre Joseph Redouté (French, 1759-1840)",1827,https://artvee.com/dl/choix-des-plus-belles-fleurs-pl-004/,53439pl.jpg
Choix des plus belles fleurs pl 096 (1827),"Pierre Joseph Redouté (French, 1759-1840)",1827,https://artvee.com/dl/choix-des-plus-belles-fleurs-pl-096/,53531pl.jpg
Torenia asiatica (1854-1896),"Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/torenia-asiatica/,52077pl.jpg
Vanda Lowii Lindl. (1854-1896),"Charles Antoine Lemaire (French, 1800-1871)",1854-1896,https://artvee.com/dl/vanda-lowii-lindl/,52090pl.jpg
