Title,Artist Name,Year Created,Url,Refrence No
Marie-Angélique Petitgars Gérard de Livry (1750),"Louis Tocqué (French, 1696 - 1772)",1750,https://artvee.com/dl/marie-angelique-petitgars-gerard-de-livry/,238519fg.jpg
Dancing People (circa 1920),"Pedro Figari (Uruguayan, 1861–1938)",circa 1920,https://artvee.com/dl/dancing-people/,230802fg.jpg
Self-portrait (circa 1800),"Salvador Mayol (Spanish, 1775 - 1834)",circa 1800,https://artvee.com/dl/self-portrait-97/,211254fg.jpg
Portrait of Prince Adam Kazimierz Czartoryski (1734–1823) as the Commandant of the Corps of Cadets,"Josef Grassi (Austrian, 1757 – 1838)",1734–1823,https://artvee.com/dl/portrait-of-prince-adam-kazimierz-czartoryski-1734-1823-as-the-commandant-of-the-corps-of-cadets/,229691fg.jpg
Sophia Myers (ca. 1830),"Sarah Miriam Peale (American, 1800–1885)",ca. 1830,https://artvee.com/dl/sophia-myers/,202804fg.jpg
Boy in the snow (circa 1905),"Paula Modersohn-Becker (German, 1876-1907)",circa 1905,https://artvee.com/dl/boy-in-the-snow/,236496fg.jpg
Head of a boy,"Sir Joshua Reynolds (English, 1723 - 1792)",None,https://artvee.com/dl/head-of-a-boy-18/,244487fg.jpg
Chinese Merchants,"Carl Peter Mazer (Swedish, 1807 — 1884)",None,https://artvee.com/dl/chinese-merchants/,200359fg.jpg
Study in Auburn (1904),"Alice Pike Barney (American, 1857–1931)",1904,https://artvee.com/dl/study-in-auburn/,236614fg.jpg
Peter Eugen von Kachthaler as a Captain in the Grenadier Regiment (1836),August Bootz,1836,https://artvee.com/dl/peter-eugen-von-kachthaler-as-a-captain-in-the-grenadier-regiment/,242924fg.jpg
The Love Letter (1867),"Luigi Crosio (Italian, 1835-1915)",1867,https://artvee.com/dl/the-love-letter-23/,244284fg.jpg
Seated Model on the Couch II (1924),"Edvard Munch (Norwegian, 1863 - 1944)",1924,https://artvee.com/dl/seated-model-on-the-couch-ii/,204054fg.jpg
"Portrait de Charles Bodinier (1844-1911), caissier de la Comédie-Française. (1883)","Daniel Bérard (French, 19th century)",1883,https://artvee.com/dl/portrait-de-charles-bodinier-1844-1911-caissier-de-la-comedie-francaise/,232548fg.jpg
