Title,Artist Name,Year Created,Url,Refrence
NoForty-four Turkish fairy tales Pl 40 (1913),"Willy Pogany (Hungarian, 1882 – 1955)",1913,https://artvee.com/dl/forty-four-turkish-fairy-tales-pl-40/,903044il.jpg
Book Illustration,"Karel Collens (Belgian, 1869-1901)",None,https://artvee.com/dl/book-illustration/,911862il.jpg
Delineator v99 pl23 (1922),Anonymous,1922,https://artvee.com/dl/delineator-v99-pl23/,51119fs.jpg
"Helleu, Boldini, M de Villeroy (1912)","Georges Goursat (Sem) (French, 1863–1934)",1912,https://artvee.com/dl/helleu-boldini-m-de-villeroy/,912609il.jpg
The Absurd A.B.C Pl 7 (1874),"Walter Crane (English, 1845 - 1915)",1874,https://artvee.com/dl/the-absurd-a-b-c-pl-7/,902146il.jpg
Why you no cuttee off your queue (1912),"Will Crawford (American, 1869–1944)",1912,https://artvee.com/dl/why-you-no-cuttee-off-your-queue/,905723il.jpg
Bakhtertsy (1849 - 1853),"Fedor Grigoryevich Solntsev (Russian, 1801 – 1892)",1849 - 1853,https://artvee.com/dl/bakhtertsy/,602023sl.jpg
"Examples of Chinese ornament, Pl.35 (1867)","Owen Jones (English, 1809 - 1874)",1867,https://artvee.com/dl/examples-of-chinese-ornament-pl-35/,101680ab.jpg
The flying dutchman (1910),"Udo Keppler (American, 1872 – 1956)",1910,https://artvee.com/dl/the-flying-dutchman-2/,905583il.jpg
Lanvin / Beer / Lanvin (1920),"Fernand Siméon (French, 1884-1928)",1920,https://artvee.com/dl/lanvin-beer-lanvin/,50075fs.jpg
Bugs and wings and other things – frontispiece (1918),"Jessie Willcox Smith (American, 1863 – 1935)",1918,https://artvee.com/dl/bugs-and-wings-and-other-things-frontispiece/,910706il.jpg
Denslow’s Mother Goose Pl 09 (1901),"William Wallace Denslow (American, 1856 – 1915)",1901,https://artvee.com/dl/denslows-mother-goose-pl-09/,902920il.jpg
Souvenez-vous des crimes allemands! Gerbéviller 1914 (1917),"Adrien Barrère (French, 1874-1931)",1917,https://artvee.com/dl/souvenez-vous-des-crimes-allemands-gerbeviller-1914/,902002il.jpg
Le Cerises (1913),"Charles Martin (French, 1884 - 1934)",1913,https://artvee.com/dl/le-cerises/,50698fs.jpg
"Arthur Meyer, M et MMe Catulle Mendès, Leoneto Capiello, Francis de Croisset, Paul Hervieu (1905)","Georges Goursat (Sem) (French, 1863–1934)",1905,https://artvee.com/dl/arthur-meyer-m-et-mme-catulle-mendes-leoneto-capiello-francis-de-croisset-paul-hervieu/,912472il.jpg
Edgar Allan Poe’s Tales of Mystery and Imagination illustration,"Harry Clarke (Irish, 1889–1931)",None,https://artvee.com/dl/edgar-allan-poes-tales-of-mystery-and-imagination-illustration/,906078il.jpg
Piankhy the Great pl14 (1962),"E. Harper Johnson (American, 1916-2016)",1962,https://artvee.com/dl/piankhy-the-great-pl14/,907395il.jpg
His first bath (1904),"Udo Keppler (American, 1872 – 1956)",1904,https://artvee.com/dl/his-first-bath/,905453il.jpg
"‘I beg your pardon, Mr. Serpent, would you be so kind…’ (1925)","Attilio Mussino (Italian, 1878-1954)",1925,https://artvee.com/dl/i-beg-your-pardon-mr-serpent-would-you-be-so-kind/,907350il.jpg
"Am i come hither to serve you with water, pray (1922)","Harry Clarke (Irish, 1889–1931)",1922,https://artvee.com/dl/am-i-come-hither-to-serve-you-with-water-pray/,909134il.jpg
"M Legru, M Raphael, M Landau, Lucien Cahen (1912)","Georges Goursat (Sem) (French, 1863–1934)",1912,https://artvee.com/dl/m-legru-m-raphael-m-landau-lucien-cahen/,912740il.jpg
New Boy in School pl11 (1963),"Joan Balfour Payne (American, 1923-1973)",1963,https://artvee.com/dl/new-boy-in-school-pl11/,907563il.jpg
"Old house on Broadway, at Great Jones Street, 1902. (1908)","Charles Frederick William Mielatz (American, 1864-1919)",1908,https://artvee.com/dl/old-house-on-broadway-at-great-jones-street-1902/,908743il.jpg
Delineator v99 pl52 (1922),Anonymous,1922,https://artvee.com/dl/delineator-v99-pl52/,51151fs.jpg
Cover (1883-1884),"Elihu Vedder (American, 1836-1923)",1883-1884,https://artvee.com/dl/cover/,901671il.jpg
Anguish (1910),"Udo Keppler (American, 1872 – 1956)",1910,https://artvee.com/dl/anguish/,905394il.jpg
"Examples of Chinese ornament, Pl.30 (1867)","Owen Jones (English, 1809 - 1874)",1867,https://artvee.com/dl/examples-of-chinese-ornament-pl-30/,101675ab.jpg
Finale of the Rhinegold (1877),"Henri Fantin-Latour (French, 1836-1904)",1877,https://artvee.com/dl/finale-of-the-rhinegold/,913271il.jpg
Der Fahnenträger (1942-1948),"Karl Wiener (Austrian, 1901-1949)",1942-1948,https://artvee.com/dl/der-fahnentrager/,104450ab.jpg
Indian Deer Fruit Label (1940s),Anonymous,1940s,https://artvee.com/dl/indian-deer-fruit-label-2/,911100il.jpg
Bien tirada está. (It is nicely stretched.) (1796-1797),"Francisco de Goya (Spanish, 1746 - 1828)",1796-1797,https://artvee.com/dl/bien-tirada-esta-it-is-nicely-stretched/,914037il.jpg
"Darokhranitel’nitsa, nazyvaemaia ‘Ierusalim’, sdelannaia pri V.K. Ioanne Vasil’eviche, v 1466 godu (1849 - 1853)","Fedor Grigoryevich Solntsev (Russian, 1801 – 1892)",1849 - 1853,https://artvee.com/dl/darokhranitelnitsa-nazyvaemaia-ierusalim-sdelannaia-pri-v-k-ioanne-vasileviche-v-1466-godu/,602058sl.jpg
"Art – Goût – Beauté, Feuillets de l’ élégance féminine, Janvier 1924, No. 41, 4e Année, p. 13 (1924)",Anonymous,1924,https://artvee.com/dl/art-gout-beaute-feuillets-de-l-elegance-feminine-janvier-1924-no-41-4e-annee-p-13/,907831il.jpg
Berliner Luderleben. Die Affenfregatte (1907-1926),"Thomas Theodor Heine (German, 1867 - 1867)",1907-1926,https://artvee.com/dl/berliner-luderleben-die-affenfregatte/,904411il.jpg
Il Vischio,"Jane Atché (French, 1872-1937)",None,https://artvee.com/dl/il-vischio/,903422il.jpg
36-Boys (1912 - 1924),"Will R. Barnes (American, ?-1939)",1912 - 1924,https://artvee.com/dl/36-boys/,910060il.jpg
Conspiracy,"Henry Cruse Murphy (American, 1886-1931)",None,https://artvee.com/dl/conspiracy/,905943il.jpg
