Title,Artist Name,Year Created,Url,Refrence No
"Den del af Møns kridtbjerge, som man kalder Sommerspiret taget fra strandbredden (1802 – 1803)","Søren L. Lange (Danish, 1760-1828)",1802 – 1803,https://artvee.com/dl/den-del-af-mons-kridtbjerge-som-man-kalder-sommerspiret-taget-fra-strandbredden/,506488ld.jpg
Rapids with Overhanging Branches (verso) (1704-1714),"Joachim Franz Beich (German, 1665-1748)",1704-1714,https://artvee.com/dl/rapids-with-overhanging-branches-verso/,507609ld.jpg
Dinkelsbühl,"Samuel Brunner (German, 1858-1939)",None,https://artvee.com/dl/dinkelsbuhl/,528001ld.jpg
Mountain landscape from Norway (1840-1850),"Friedrich Preller the Elder (German, 1804-1878)",1840-1850,https://artvee.com/dl/mountain-landscape-from-norway/,531591ld.jpg
"Landscape with Deer under ‘The Beggar’s Oak’, Dagot’s Park.., (1820-1830)","James Ward (English, 1769-1859)",1820-1830,https://artvee.com/dl/landscape-with-deer-under-the-beggars-oak-dagots-park/,516108ld.jpg
Kanal in Holland,"Tina Blau (Austrian, 1845-1916)",None,https://artvee.com/dl/kanal-in-holland/,528135ld.jpg
Boslandschap (1780 - 1855),"Jan Dasveldt (Dutch, 1770-1855)",1780 - 1855,https://artvee.com/dl/boslandschap-3/,524699ld.jpg
Landscape with poplars (1921),"Curt Agthe (German, 1862-1943)",1921,https://artvee.com/dl/landscape-with-poplars-3/,516749ld.jpg
Islands (1919),"Nicholas Roerich (Russian, 1874-1947)",1919,https://artvee.com/dl/islands/,531848ld.jpg
Enten am Dorfweiher,"Hugo Darnaut (Austrian, 1850–1937)",None,https://artvee.com/dl/enten-am-dorfweiher/,527196ld.jpg
Figures Dancing near a Ruin (ca. 1624),"Cornelis Van Poelenburch (Dutch, 1594/95-1667)",ca. 1624,https://artvee.com/dl/figures-dancing-near-a-ruin/,512206ld.jpg
"Venice, a View of Palazzo Ducale and St Mark’s Column","Marco Grubas (Italian, 1839-1910)",None,https://artvee.com/dl/venice-a-view-of-palazzo-ducale-and-st-marks-column/,534566ld.jpg
